"","Nombre","Direccion","Latitud","Longitud","objectid","shape_leng","dis_elec","cir_sena","cod_comuna","codregion","st_area_sh","st_length_","Region","Comuna","Provincia","cantidad super","CANT_PER","densidad_super"
"1","Supermercado Mayorista Alvi - Santa Rosa","Santa Rosa N° 5000",-33.5033,-70.638811,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"2","Supermercado Mayorista 10 - Llico / Santa Rosa","Llico Nº 456",-33.5055327486,-70.6371230194,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"3","Supermercado Ekono - Santa Rosa / Santa Ester","Av. Santa Rosa N° 4480",-33.4985323371179,-70.6391876935959,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"4","Supermercado Santa Isabel - Vicuña Mackenna / Isabel Riquelme","Av. Vicuña Mackenna Nº 11145",-33.484662,-70.620498,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"5"," Supermercado Ekono","Av. Las Industrias Nº 5155",-33.503452,-70.627258,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"6","Líder - Vicuña Mackenna / Aysén","Av. Vicuña Mackenna Nº 3361",-33.483533,-70.620782,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"7","Supermercado Líder - Vicuña Mackenna / Aysén","Av. Vicuña Mackenna N° 3313",-33.482972,-70.620932,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"8","Supermercado Unimarc - Av. Santa Rosa","Av. Santa Rosa N° 5620",-33.508578,-70.638239,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"9","Supermercado Ekono - Vicuña Mackenna / Isabel Riquelme","Av. Vicuña Mackenna N° 8733",-33.484595,-70.620515,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
"10","Supermercado Ekono - Las Industrias ","Av. Las Industrias N° 5155",-33.50359,-70.626984,330,13987.3267808,10,7,13129,13,14243413.4206,16812.167615,"Región Metropolitana de Santiago","San Joaquín","Santiago",10,90192,9019.2
